Company,FYE_basis,Metric,FiscalYear,Value,Unit
Microsoft,Jun,Capex,FY2024,44.5,USD_billions
Microsoft,Jun,FCF,FY2024,74.1,USD_billions
Microsoft,Jun,Capex/OCF,FY2024,38,percent
Microsoft,Jun,Revenue,FY2025,281.7,USD_billions
Microsoft,Jun,Operating income,FY2025,128.5,USD_billions
Microsoft,Jun,Operating margin,FY2025,45.6,percent
Microsoft,Jun,Operating cash flow,FY2025,136.2,USD_billions
Microsoft,Jun,Capex,FY2025,64.6,USD_billions
Microsoft,Jun,FCF,FY2025,71.6,USD_billions
Microsoft,Jun,Capex/OCF,FY2025,47,percent
NVIDIA,Jan,Revenue,FY2020,10.9,USD_billions
NVIDIA,Jan,Operating income,FY2020,2.8,USD_billions
NVIDIA,Jan,Operating margin,FY2020,26.1,percent
NVIDIA,Jan,Operating cash flow,FY2020,4.8,USD_billions
NVIDIA,Jan,Revenue,FY2021,16.7,USD_billions
NVIDIA,Jan,Operating income,FY2021,4.5,USD_billions
NVIDIA,Jan,Operating margin,FY2021,27.2,percent
NVIDIA,Jan,Operating cash flow,FY2021,5.8,USD_billions
NVIDIA,Jan,Revenue,FY2022,26.9,USD_billions
NVIDIA,Jan,Operating income,FY2022,10.0,USD_billions
NVIDIA,Jan,Operating margin,FY2022,37.3,percent
NVIDIA,Jan,Operating cash flow,FY2022,9.1,USD_billions
NVIDIA,Jan,Capex,FY2022,1.0,USD_billions
NVIDIA,Jan,FCF,FY2022,8.1,USD_billions
NVIDIA,Jan,Capex/OCF,FY2022,11,percent
NVIDIA,Jan,Revenue,FY2023,27.0,USD_billions
NVIDIA,Jan,Operating income,FY2023,4.2,USD_billions
NVIDIA,Jan,Operating margin,FY2023,15.7,percent
NVIDIA,Jan,Operating cash flow,FY2023,5.6,USD_billions
NVIDIA,Jan,Capex,FY2023,1.8,USD_billions
NVIDIA,Jan,FCF,FY2023,3.8,USD_billions
NVIDIA,Jan,Capex/OCF,FY2023,32,percent
NVIDIA,Jan,Revenue,FY2024,60.9,USD_billions
NVIDIA,Jan,Operating income,FY2024,33.0,USD_billions
NVIDIA,Jan,Operating margin,FY2024,54.1,percent
NVIDIA,Jan,Operating cash flow,FY2024,28.1,USD_billions
NVIDIA,Jan,Capex,FY2024,1.1,USD_billions
NVIDIA,Jan,FCF,FY2024,27.0,USD_billions
NVIDIA,Jan,Capex/OCF,FY2024,4,percent
NVIDIA,Jan,Revenue,FY2025,130.5,USD_billions
NVIDIA,Jan,Operating income,FY2025,81.5,USD_billions
NVIDIA,Jan,Operating margin,FY2025,62.4,percent
NVIDIA,Jan,Operating cash flow,FY2025,64.1,USD_billions
NVIDIA,Jan,Capex,FY2025,3.2,USD_billions
NVIDIA,Jan,FCF,FY2025,60.9,USD_billions
NVIDIA,Jan,Capex/OCF,FY2025,5,percent
Apple,Sep,Revenue,FY2020,274.5,USD_billions
Apple,Sep,Operating income,FY2020,66.3,USD_billions
Apple,Sep,Operating margin,FY2020,24.1,percent
Apple,Sep,Operating cash flow,FY2020,80.7,USD_billions
Apple,Sep,Capex,FY2020,7.3,USD_billions
Apple,Sep,FCF,FY2020,73.4,USD_billions
Apple,Sep,Capex/OCF,FY2020,9,percent
Apple,Sep,Revenue,FY2021,365.8,USD_billions
Apple,Sep,Operating income,FY2021,108.9,USD_billions
Apple,Sep,Operating margin,FY2021,29.8,percent
Apple,Sep,Operating cash flow,FY2021,104.0,USD_billions
Apple,Sep,Capex,FY2021,11.1,USD_billions
Apple,Sep,FCF,FY2021,93.0,USD_billions
Apple,Sep,Capex/OCF,FY2021,11,percent
Apple,Sep,Revenue,FY2022,394.3,USD_billions
Apple,Sep,Operating income,FY2022,119.4,USD_billions
Apple,Sep,Operating margin,FY2022,30.3,percent
Apple,Sep,Operating cash flow,FY2022,122.2,USD_billions
Apple,Sep,Capex,FY2022,10.7,USD_billions
Apple,Sep,FCF,FY2022,111.4,USD_billions
Apple,Sep,Capex/OCF,FY2022,9,percent
Apple,Sep,Revenue,FY2023,383.3,USD_billions
Apple,Sep,Operating income,FY2023,114.3,USD_billions
Apple,Sep,Operating margin,FY2023,29.8,percent
Apple,Sep,Operating cash flow,FY2023,110.5,USD_billions
Apple,Sep,Capex,FY2023,11.0,USD_billions
Apple,Sep,FCF,FY2023,99.6,USD_billions
Apple,Sep,Capex/OCF,FY2023,10,percent
Apple,Sep,Revenue,FY2024,391.0,USD_billions
Apple,Sep,Operating income,FY2024,123.2,USD_billions
Apple,Sep,Operating margin,FY2024,31.5,percent
Apple,Sep,Operating cash flow,FY2024,118.3,USD_billions
Apple,Sep,Capex,FY2024,9.4,USD_billions
Apple,Sep,FCF,FY2024,108.8,USD_billions
Apple,Sep,Capex/OCF,FY2024,8,percent
Apple,Sep,Revenue,FY2025,416.2,USD_billions
Apple,Sep,Operating income,FY2025,133.1,USD_billions
Apple,Sep,Operating margin,FY2025,32.0,percent
Apple,Sep,Operating cash flow,FY2025,111.5,USD_billions
Apple,Sep,Capex,FY2025,12.7,USD_billions
Apple,Sep,FCF,FY2025,98.8,USD_billions
Apple,Sep,Capex/OCF,FY2025,11,percent
